date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:43	368/368	---M--	200	added ('OK')	text/plain	date:Fri,%2026%20May%202023%2016:25:44%20GMT	https://www.junghoe.com/robots.txt		(from )
18:25:43	726834/726834	---MCZ	200	added ('OK')	text/html	etag:W/%22e4d78ce1a6ae8c3723f8ac543f79e655%22	https://www.junghoe.com/	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/www.junghoe.com/index.html	(from )
18:25:44	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.junghoe.com/)
18:25:44	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.junghoe.com/)
18:25:46	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20May%202023%2000:17:37%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/polyfill.io/v3/polyfill.mind82c.js	(from https://www.junghoe.com/)
18:25:46	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.junghoe.com/)
18:25:47	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20May%202023%2016:25:48%20GMT	https://www.junghoe.com/decodeURIComponent(e	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/www.junghoe.com/decodeURIComponent(e	(from https://www.junghoe.com/)
18:25:47	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20May%202023%2016:25:48%20GMT	https://www.junghoe.com/sitemap.xml	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/www.junghoe.com/sitemap.xml	(from https://www.junghoe.com/)
18:25:48	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20May%202023%2016:25:48%20GMT	https://www.junghoe.com/feed.xml	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/www.junghoe.com/feed.xml	(from https://www.junghoe.com/)
18:25:48	82251/82251	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213eeb81d6c30be1068563777902d4870%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.5a86a0c3.bundle.min.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.5a86a0c3.bundle.min.js	(from https://www.junghoe.com/)
18:25:48	146904/146904	---M-Z	200	added ('OK')	application/javascript	etag:W/%227fe18c55e843acf197da01dc9091683d%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.8898b400.bundle.min.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/static.parastorage.com/services/wix-thunderbolt/dist/main.8898b400.bundle.min.js	(from https://www.junghoe.com/)
18:25:48	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.junghoe.com/)
18:25:49	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://www.junghoe.com/)
18:25:49	7897/7897	---M-Z	200	added ('OK')	application/javascript	etag:W/%2282ef8cd522818464cafdf4bf58ab1ffa%22	https://static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Premiere%20copie%20de%20site%20web/static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	(from https://www.junghoe.com/)
